catalog_number|catalog_plate|year_nasa|month|day|hour|minute|second|latitude|longitude|eclipse_type|magnitude_eclipse|lunation_number|saros_number|delta_Ts|QLE|gamma|sun_altitude|sun_azimuth|duration_central|path_width|year_BC|upper|lower|my_50|intensity_category|page|gif
7656|383|1216|8|14|11|48|35|-29.9|174.6|A|0.9899|-9689|103|682|-p|-0.6832|47|17|1.033|48|Aug 14, 1216 AD|1201|1300|1200|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1216-08-14.gif
7657|383|1217|2|7|5|30|25|-11.7|-76.2|T|1.0226|-9683|108|681|nn|0.0204|89|165|2.25|77|Feb 07, 1217 AD|1201|1300|1200| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1217-02-07.gif
7658|383|1217|8|4|4|30|50|19.4|117.0|Am|0.9520|-9677|113|679|nn|0.0686|86|192|6.017|176|Aug 04, 1217 AD|1201|1300|1200|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1217-08-04.gif
7659|383|1218|1|28|8|30|17|-56.5|73.1|T|1.0470|-9671|118|678|p-|-0.6613|48|340|3.283|209|Jan 28, 1218 AD|1201|1300|1200| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1218-01-28.gif
7660|383|1218|7|24|4|55|35|72.3|135.3|A|0.9425|-9665|123|677|p-|0.8225|34|209|4.567|376|Jul 24, 1218 AD|1201|1300|1200|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1218-07-24.gif
7661|384|1218|12|19|12|10|11|66.3|9.4|P|0.2653|-9660|90|676|-t|1.4002|0|188|||Dec 19, 1218 AD|1201|1300|1200|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1218-12-19.gif
7662|384|1219|1|18|12|6|47|-69.1|-20.1|P|0.3619|-9659|128|676|t-|-1.3445|0|203|||Jan 18, 1219 AD|1201|1300|1200|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1219-01-18.gif
7663|384|1219|6|13|9|37|18|-65.7|-126.7|P|0.7138|-9654|95|674|-t|-1.1537|0|346|||Jun 13, 1219 AD|1201|1300|1200|0.7999 to 0.7000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1219-06-13.gif
7664|384|1219|7|13|8|23|41|68.4|-137.2|Pb|0.0308|-9653|133|674|t-|1.5337|0|346|||Jul 13, 1219 AD|1201|1300|1200|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1219-07-13.gif
7665|384|1219|12|8|8|6|8|26.3|-112.3|A|0.9430|-9648|100|673|-p|0.7661|40|189|6.8|327|Dec 08, 1219 AD|1201|1300|1200|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1219-12-08.gif
7666|384|1220|6|2|11|28|52|2.6|13.7|T|1.0670|-9642|105|672|-n|-0.3546|69|350|6.4|234|Jun 02, 1220 AD|1201|1300|1200| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1220-06-02.gif
7667|384|1220|11|26|9|1|31|-17.4|-133.4|A|0.9185|-9636|110|670|nn|0.0907|85|193|10.95|311|Nov 26, 1220 AD|1201|1300|1200|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1220-11-26.gif
7668|384|1221|5|23|4|38|19|43.9|104.3|T|1.0767|-9630|115|669|n-|0.3885|67|161|5.717|269|May 23, 1221 AD|1201|1300|1200| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1221-05-23.gif
7669|384|1221|11|15|8|27|28|-54.2|-145|A|0.9310|-9624|120|668|p-|-0.5900|54|29|6.333|319|Nov 15, 1221 AD|1201|1300|1200|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1221-11-15.gif
7670|384|1222|4|13|10|33|58|-61.5|91.7|Pe|0.1092|-9619|87|667|-t|-1.4863|0|295|||Apr 13, 1222 AD|1201|1300|1200|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1222-04-13.gif
7671|384|1222|5|12|8|24|3|63.2|99.9|P|0.7054|-9618|125|667|t-|1.1607|0|41|||May 12, 1222 AD|1201|1300|1200|0.7999 to 0.7000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1222-05-12.gif
7672|384|1222|10|6|1|11|29|61.4|56.8|P|0.0576|-9613|92|666|-t|1.5111|0|253|||Oct 06, 1222 AD|1201|1300|1200|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1222-10-06.gif
7673|384|1222|11|5|1|35|45|-62.5|27.2|P|0.5408|-9612|130|665|t-|-1.2474|0|131|||Nov 05, 1222 AD|1201|1300|1200|0.6999 to 0.5000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1222-11-05.gif
7674|384|1223|4|2|4|37|47|-38.2|-38|A|0.9471|-9607|97|664|-p|-0.7938|37|324|5.15|310|Apr 02, 1223 AD|1201|1300|1200|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1223-04-02.gif
7675|384|1223|9|26|4|10|29|40.2|147.0|T|1.0525|-9601|102|663|-p|0.7816|38|219|3.767|272|Sep 26, 1223 AD|1201|1300|1200| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1223-09-26.gif
7676|384|1224|3|21|4|59|55|-0|-69.1|A|0.9359|-9595|107|662|nn|-0.0663|86|331|7.383|239|Mar 21, 1224 AD|1201|1300|1200|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1224-03-21.gif
7677|384|1224|9|14|8|27|49|4.7|-123.7|T|1.0496|-9589|112|660|nn|0.0847|85|209|4.183|165|Sep 14, 1224 AD|1201|1300|1200| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1224-09-14.gif
7678|384|1225|3|10|6|43|38|34.3|-118.9|A|0.9596|-9583|117|659|p-|0.6590|49|144|3.817|190|Mar 10, 1225 AD|1201|1300|1200|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1225-03-10.gif
7679|384|1225|9|4|9|21|58|-31.9|19.0|A|0.9977|-9577|122|658|p-|-0.6686|48|34|0.2|11|Sep 04, 1225 AD|1201|1300|1200|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1225-09-04.gif
7680|384|1226|1|29|4|15|54|-62.3|65.2|P|0.3259|-9572|89|657|-t|-1.3640|0|234|||Jan 29, 1226 AD|1201|1300|1200|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1226-01-29.gif
7681|385|1226|2|28|3|15|5|61.0|56.8|P|0.3818|-9571|127|656|t-|1.3351|0|101|||Feb 28, 1226 AD|1201|1300|1200|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1226-02-28.gif
7682|385|1226|7|26|12|17|26|62.6|-51.5|P|0.2713|-9566|94|655|-t|1.4044|0|312|||Jul 26, 1226 AD|1201|1300|1200|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1226-07-26.gif
7683|385|1226|8|24|3|25|45|-61.3|-122.5|P|0.1684|-9565|132|655|t-|-1.4633|0|72|||Aug 24, 1226 AD|1201|1300|1200|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1226-08-24.gif
7684|385|1227|1|19|7|50|13|-57.4|94.3|T|1.0450|-9560|99|654|-p|-0.6788|47|323|2.983|204|Jan 19, 1227 AD|1201|1300|1200| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1227-01-19.gif
7685|385|1227|7|15|12|51|5|58.3|-167.2|A|0.9537|-9554|104|653|-p|0.6512|49|212|3.983|222|Jul 15, 1227 AD|1201|1300|1200|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1227-07-15.gif
7686|385|1228|1|8|10|42|54|-21.6|-155.1|H3|1.0176|-9548|109|652|nn|-0.0068|89|348|1.667|60|Jan 08, 1228 AD|1201|1300|1200| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1228-01-08.gif
7687|385|1228|7|3|6|13|46|14.6|88.3|H|1.0049|-9542|114|650|nn|-0.1404|82|13|0.533|17|Jul 03, 1228 AD|1201|1300|1200| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1228-07-03.gif
7688|385|1228|12|28|8|22|1|22.5|49.7|A|0.9563|-9536|119|649|p-|0.7190|44|168|5.067|227|Dec 28, 1228 AD|1201|1300|1200|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1228-12-28.gif
7689|385|1229|6|22|6|50|32|-39|-109.7|T|1.0496|-9530|124|648|t-|-0.8886|27|11|4.167|360|Jun 22, 1229 AD|1201|1300|1200| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1229-06-22.gif
7690|385|1229|12|17|10|40|21|65.5|6.1|P|0.2132|-9524|129|647|t-|1.4431|0|164|||Dec 17, 1229 AD|1201|1300|1200|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1229-12-17.gif
7691|385|1230|5|14|4|56|10|82.5|52.4|T|1.0597|-9519|96|645|-t|0.9078|24|122|3.283|476|May 14, 1230 AD|1201|1300|1200| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1230-05-14.gif
7692|385|1230|11|6|3|52|58|-79.6|-116.1|A|0.9380|-9513|101|644|-p|-0.9131|24|60|4.35|574|Nov 06, 1230 AD|1201|1300|1200|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1230-11-06.gif
7693|385|1231|5|3|7|27|5|27.8|-112.3|T|1.0224|-9507|106|643|-n|0.1763|80|169|2.183|78|May 03, 1231 AD|1201|1300|1200| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1231-05-03.gif
7694|385|1231|10|26|11|14|27|-24.6|-172.2|Hm|1.0033|-9501|111|642|nn|-0.1694|80|13|0.333|12|Oct 26, 1231 AD|1201|1300|1200| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1231-10-26.gif
7695|385|1232|4|22|3|20|16|-22.2|140.3|A|0.9636|-9495|116|640|p-|-0.6097|52|346|4.3|165|Apr 22, 1232 AD|1201|1300|1200|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1232-04-22.gif
7696|385|1232|10|15|1|4|38|19.5|-8.9|T|1.0469|-9489|121|639|p-|0.5277|58|196|4.233|183|Oct 15, 1232 AD|1201|1300|1200| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1232-10-15.gif
7697|385|1233|3|12|12|10|19|72.0|-86.7|Pe|0.0121|-9484|88|638|-t|1.5587|0|91|||Mar 12, 1233 AD|1201|1300|1200|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1233-03-12.gif
7698|385|1233|4|11|4|41|24|-71.2|167.7|P|0.3278|-9483|126|638|t-|-1.3717|0|306|||Apr 11, 1233 AD|1201|1300|1200|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1233-04-11.gif
7699|385|1233|9|5|7|49|30|-71.9|166.5|P|0.2156|-9478|93|637|-t|-1.4219|0|77|||Sep 05, 1233 AD|1201|1300|1200|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1233-09-05.gif
7700|385|1233|10|5|5|14|34|71.6|167.4|P|0.6174|-9477|131|637|t-|1.2080|0|246|||Oct 05, 1233 AD|1201|1300|1200|0.6999 to 0.5000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1233-10-05.gif
7701|386|1234|3|1|3|27|1|45.2|-66|A|0.9693|-9472|98|636|-p|0.7947|37|155|2.817|180|Mar 01, 1234 AD|1201|1300|1200|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1234-03-01.gif
7702|386|1234|8|26|7|7|19|-38|60.0|A|0.9829|-9466|103|634|-p|-0.7438|42|21|1.65|90|Aug 26, 1234 AD|1201|1300|1200|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1234-08-26.gif
7703|386|1235|2|19|1|50|49|-6.6|157.8|Tm|1.0280|-9460|108|633|nn|0.0419|88|164|2.75|95|Feb 19, 1235 AD|1201|1300|1200| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1235-02-19.gif
7704|386|1235|8|15|11|17|23|11.9|13.7|A|0.9481|-9454|113|632|nn|-0.0027|90|28|6.667|191|Aug 15, 1235 AD|1201|1300|1200|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1235-08-15.gif
7705|386|1236|2|8|5|7|28|-51.3|-55.5|T|1.0501|-9448|118|631|p-|-0.6454|50|337|3.6|217|Feb 08, 1236 AD|1201|1300|1200| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1236-02-08.gif
7706|386|1236|8|3|11|33|3|61.9|29.8|A|0.9432|-9442|123|629|p-|0.7441|42|205|4.95|314|Aug 03, 1236 AD|1201|1300|1200|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1236-08-03.gif
7707|386|1236|12|29|8|49|58|67.4|-131.4|P|0.2537|-9437|90|628|-t|1.4069|0|177|||Dec 29, 1236 AD|1201|1300|1200|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1236-12-29.gif
7708|386|1237|1|28|8|44|50|-70|-162.2|P|0.3759|-9436|128|628|t-|-1.3369|0|216|||Jan 28, 1237 AD|1201|1300|1200|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1237-01-28.gif
7709|386|1237|6|24|4|41|9|-66.7|116.7|P|0.5814|-9431|95|627|-t|-1.2260|0|356|||Jun 24, 1237 AD|1201|1300|1200|0.6999 to 0.5000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1237-06-24.gif
7710|386|1237|7|23|3|20|43|69.4|106.7|P|0.1681|-9430|133|627|t-|1.4562|0|335|||Jul 23, 1237 AD|1201|1300|1200|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1237-07-23.gif
7711|386|1237|12|19|4|23|11|27.3|120.5|A|0.9404|-9425|100|626|-p|0.7728|39|184|7.183|348|Dec 19, 1237 AD|1201|1300|1200|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1237-12-19.gif
7712|386|1238|6|13|6|53|33|-1.7|-98.2|T|1.0689|-9419|105|625|-p|-0.4280|65|354|6.633|248|Jun 13, 1238 AD|1201|1300|1200| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1238-06-13.gif
7713|386|1238|12|8|5|2|16|-17.9|107.1|A|0.9175|-9413|110|624|nn|0.0988|84|188|11.383|315|Dec 08, 1238 AD|1201|1300|1200|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1238-12-08.gif
7714|386|1239|6|3|12|7|17|41.3|-4.2|T|1.0771|-9407|115|622|n-|0.3157|71|167|5.967|263|Jun 03, 1239 AD|1201|1300|1200| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1239-06-03.gif
7715|386|1239|11|27|4|33|35|-56.5|98.1|A|0.9318|-9401|120|621|p-|-0.5795|54|23|6.267|313|Nov 27, 1239 AD|1201|1300|1200|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1239-11-27.gif
7716|386|1240|5|23|3|41|19|64.0|-19|P|0.8316|-9395|125|620|t-|1.0929|0|32|||May 23, 1240 AD|1201|1300|1200|0.8999 to 0.8000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1240-05-23.gif
7717|386|1240|10|16|9|30|5|61.7|-76.9|Pe|0.0237|-9390|92|619|-t|1.5295|0|244|||Oct 16, 1240 AD|1201|1300|1200|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1240-10-16.gif
7718|386|1240|11|15|10|1|4|-63.3|-108.5|P|0.5649|-9389|130|619|t-|-1.2339|0|141|||Nov 15, 1240 AD|1201|1300|1200|0.6999 to 0.5000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1240-11-15.gif
7719|386|1241|4|12|11|36|48|-41.1|-141.6|A|0.9462|-9384|97|618|-t|-0.8597|30|325|5.233|376|Apr 12, 1241 AD|1201|1300|1200|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1241-04-12.gif
7720|386|1241|10|6|12|32|1|39.2|20.3|T|1.0494|-9378|102|616|-p|0.8103|36|216|3.633|274|Oct 06, 1241 AD|1201|1300|1200| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1241-10-06.gif
7721|387|1242|4|1|11|59|52|1.1|-173.6|A|0.9393|-9372|107|615|nn|-0.1253|83|332|7.067|227|Apr 01, 1242 AD|1201|1300|1200|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1242-04-01.gif
7722|387|1242|9|26|4|35|39|2.2|114.3|T|1.0443|-9366|112|614|-n|0.1219|83|209|3.8|149|Sep 26, 1242 AD|1201|1300|1200| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1242-09-26.gif
7723|387|1243|3|22|2|10|26|35.5|129.9|A|0.9659|-9360|117|613|p-|0.6104|52|144|3.133|152|Mar 22, 1243 AD|1201|1300|1200|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1243-03-22.gif
7724|387|1243|9|15|5|1|45|-33|-96|A|0.9920|-9354|122|612|p-|-0.6249|51|35|0.7|35|Sep 15, 1243 AD|1201|1300|1200|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1243-09-15.gif
7725|387|1244|2|10|12|45|37|-61.7|-71.4|P|0.2979|-9349|89|611|-t|-1.3786|0|244|||Feb 10, 1244 AD|1201|1300|1200|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1244-02-10.gif
7726|387|1244|3|10|11|14|43|60.9|-72|P|0.4525|-9348|127|610|t-|1.2963|0|92|||Mar 10, 1244 AD|1201|1300|1200|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1244-03-10.gif
7727|387|1244|8|5|6|54|20|62.0|-160|P|0.1421|-9343|94|609|-t|1.4807|0|303|||Aug 05, 1244 AD|1201|1300|1200|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1244-08-05.gif
7728|387|1244|9|3|10|31|22|-61|122.1|P|0.2623|-9342|132|609|t-|-1.4095|0|80|||Sep 03, 1244 AD|1201|1300|1200|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1244-09-03.gif
7729|387|1245|1|29|4|32|7|-54|-33.8|T|1.0465|-9337|99|608|-p|-0.6916|46|320|3.083|213|Jan 29, 1245 AD|1201|1300|1200| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1245-01-29.gif
7730|387|1245|7|25|7|29|42|59.6|102.3|A|0.9528|-9331|104|607|-p|0.7295|43|222|3.867|251|Jul 25, 1245 AD|1201|1300|1200|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1245-07-25.gif
7731|387|1246|1|19|7|20|33|-19.6|76.3|H|1.0166|-9325|109|606|nn|-0.0150|89|342|1.567|57|Jan 19, 1246 AD|1201|1300|1200| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1246-01-19.gif
7732|387|1246|7|14|1|15|19|17.2|-16.2|H|1.0074|-9319|114|605|nn|-0.0631|86|18|0.767|26|Jul 14, 1246 AD|1201|1300|1200| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1246-07-14.gif
7733|387|1247|1|8|4|43|15|23.1|-78.1|A|0.9547|-9313|119|604|p-|0.7154|44|163|5.15|234|Jan 08, 1247 AD|1201|1300|1200|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1247-01-08.gif
7734|387|1247|7|4|2|11|47|-30.9|137.9|T|1.0539|-9307|124|602|p-|-0.8122|35|14|4.7|304|Jul 04, 1247 AD|1201|1300|1200| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1247-07-04.gif
7735|387|1247|12|28|6|44|27|64.5|-125.1|P|0.2213|-9301|129|601|t-|1.4383|0|154|||Dec 28, 1247 AD|1201|1300|1200|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1247-12-28.gif
7736|387|1248|5|24|12|24|47|78.2|-170.9|T|1.0549|-9296|96|600|-t|0.9801|11|13|2.7|997|May 24, 1248 AD|1201|1300|1200| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE1201-1300.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/1201-1300/1248-05-24.gif
