catalog_number|year_nasa|month|day|hour|minute|second|latitude|longitude|eclipse_type|magnitude_umbral|lunation_number|saros_number|delta_Ts|QSE|gamma|magnitude_penumbral|duration_penumbral|duration_parial|duration_total|year_BC|upper|lower|my_50|intensity_category|page|gif
2825|-825|5|9|5|15|5|-15|-168|T-|1.7415|-34937|37|22261|pp|-0.0532|2.7795|5.983|3.817|1.733|May 9, 826 BC|-0899|-0800|-850| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0825-05-09T.gif
2826|-825|11|2|5|27|24|12|8|T+|1.4862|-34931|42|22253|p-|0.2082|2.4656|5.333|3.45|1.467|Nov 2, 826 BC|-0899|-0800|-850| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0825-11-02T.gif
2827|-824|4|27|7|25|44|-12|160|P|0.2938|-34925|47|22245|t-|-0.8335|1.3638|5.3|2.133||Apr 27, 825 BC|-0899|-0800|-850|0.4999 to 0.2500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0824-04-27P.gif
2828|-824|10|21|9|10|42|9|132|P|0.2732|-34919|52|22237|a-|0.8711|1.2458|4.417|1.817||Oct 21, 825 BC|-0899|-0800|-850|0.4999 to 0.2500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0824-10-21P.gif
2829|-823|3|18|7|4|58|5|-10|N|-0.4207|-34914|19|22230|-t|1.232|0.6157|3.667|||Mar 18, 824 BC|-0899|-0800|-850| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0823-03-18N.gif
2830|-823|4|16|8|28|26|-8|145|Nb|-1.0287|-34913|57|22229|t-|-1.5586|0.0252|0.8|||Apr 16, 824 BC|-0899|-0800|-850| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0823-04-16N.gif
2831|-823|9|11|10|18|59|-9|118|N|-0.3135|-34908|24|22222|-a|-1.1749|0.718|3.85|||Sep 11, 824 BC|-0899|-0800|-850| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0823-09-11N.gif
2832|-822|3|7|5|6|41|9|-160|T|1.061|-34902|29|22214|-a|0.4386|2.0453|5.3|3.25|0.617|Mar 7, 823 BC|-0899|-0800|-850| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0822-03-07T.gif
2833|-822|9|1|2|51|34|-12|50|P|0.9275|-34896|34|22206|-t|-0.4861|2.0053|5.883|3.383||Sep 1, 823 BC|-0899|-0800|-850|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0822-09-01P.gif
2834|-821|2|25|8|27|18|12|-30|T|1.3553|-34890|39|22197|p-|-0.2859|2.3111|5.217|3.367|1.317|Feb 25, 822 BC|-0899|-0800|-850| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0821-02-25T.gif
2835|-821|8|21|2|46|38|-15|51|T+|1.3843|-34884|44|22189|pp|0.2358|2.4671|6.183|3.8|1.483|Aug 21, 822 BC|-0899|-0800|-850| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0821-08-21T.gif
2836|-820|2|15|12|44|20|15|86|P|0.0503|-34878|49|22181|a-|-0.9929|1.0215|4.133|0.817||Feb 15, 821 BC|-0899|-0800|-850|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0820-02-15P.gif
2837|-820|8|9|5|27|51|-18|11|P|0.0863|-34872|54|22173|h-|0.9547|1.1264|4.717|1.15||Aug 9, 821 BC|-0899|-0800|-850|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0820-08-09P.gif
2838|-819|1|4|10|56|35|25|111|N|-0.1269|-34867|21|22166|-h|1.065|0.9348|4.417|||Jan 4, 820 BC|-0899|-0800|-850| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0819-01-04N.gif
2839|-819|6|30|7|8|1|-25|-16|P|0.1411|-34861|26|22158|-a|-0.9479|1.0958|4.233|1.35||Jun 30, 820 BC|-0899|-0800|-850|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0819-06-30P.gif
2840|-819|12|25|12|30|20|24|86|T|1.0768|-34855|31|22150|-t|0.3981|2.1792|6.1|3.567|0.733|Dec 25, 820 BC|-0899|-0800|-850| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0819-12-25T.gif
2841|-818|6|20|12|11|0|-24|88|T-|1.5054|-34849|36|22142|-p|-0.2078|2.4475|5.233|3.45|1.483|Jun 20, 819 BC|-0899|-0800|-850| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0818-06-20T.gif
2842|-818|12|13|11|44|14|23|96|T|1.2919|-34843|41|22134|p-|-0.2835|2.3843|6.1|3.7|1.333|Dec 13, 819 BC|-0899|-0800|-850| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0818-12-13T.gif
2843|-817|6|9|4|8|8|-21|-152|P|0.8618|-34837|46|22125|a-|0.5503|1.8342|5.15|3.05||Jun 9, 818 BC|-0899|-0800|-850|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0817-06-09P.gif
2844|-817|12|3|4|2|50|20|30|P|0.0937|-34831|51|22117|a-|-0.9504|1.1346|4.617|1.167||Dec 3, 818 BC|-0899|-0800|-850|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0817-12-03P.gif
2845|-816|4|29|1|59|50|-13|-119|N|-0.7015|-34826|18|22110|-t|-1.3808|0.3504|2.917|||Apr 29, 817 BC|-0899|-0800|-850| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0816-04-29N.gif
2846|-816|5|29|2|37|11|-19|51|N|-0.6731|-34825|56|22109|t-|1.3723|0.3529|2.833|||May 29, 817 BC|-0899|-0800|-850| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0816-05-29N.gif
2847|-816|10|23|4|30|47|10|21|N|-0.2054|-34820|23|22102|-a|1.1321|0.7663|3.633|||Oct 23, 817 BC|-0899|-0800|-850| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0816-10-23N.gif
2848|-815|4|18|3|2|58|-8|-134|P|0.6344|-34814|28|22094|-t|-0.6475|1.7059|5.683|2.983||Apr 18, 816 BC|-0899|-0800|-850|0.7499 to 0.5000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0815-04-18P.gif
2849|-815|10|12|8|14|50|5|146|P|0.9949|-34808|33|22086|-a|0.4762|1.9732|5.133|3.117||Oct 12, 816 BC|-0899|-0800|-850|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0815-10-12P.gif
2850|-814|4|7|5|6|23|-3|-164|T+|1.6129|-34802|38|22078|pp|0.122|2.6558|5.983|3.8|1.683|Apr 7, 815 BC|-0899|-0800|-850| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0814-04-07T.gif
2851|-814|10|2|8|55|19|0|-43|T-|1.4395|-34796|43|22070|p-|-0.2217|2.463|5.667|3.583|1.467|Oct 2, 815 BC|-0899|-0800|-850| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0814-10-02T.gif
2852|-813|3|28|1|46|36|2|68|P|0.2779|-34790|48|22062|a-|0.8636|1.2684|4.65|1.917||Mar 28, 814 BC|-0899|-0800|-850|0.4999 to 0.2500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0813-03-28P.gif
2853|-813|9|21|2|51|15|-5|-131|P|0.0405|-34784|53|22053|t-|-0.9701|1.1158|4.833|0.8||Sep 21, 814 BC|-0899|-0800|-850|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0813-09-21P.gif
2854|-812|2|16|8|14|4|14|-27|N|-0.0134|-34779|20|22047|-a|-1.0314|0.9439|3.95|||Feb 16, 813 BC|-0899|-0800|-850| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0812-02-16N.gif
2855|-812|3|16|4|31|39|6|-153|Nb|-0.9321|-34778|58|22045|a-|1.533|0.0218|0.65|||Mar 16, 813 BC|-0899|-0800|-850| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0812-03-16N.gif
2856|-812|8|10|10|9|43|-17|120|N|-0.4829|-34773|25|22039|-t|1.2561|0.5896|3.733|||Aug 10, 813 BC|-0899|-0800|-850| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0812-08-10N.gif
2857|-811|2|4|11|49|49|18|99|T|1.2158|-34767|30|22030|-p|-0.3539|2.2012|5.333|3.35|1.1|Feb 4, 812 BC|-0899|-0800|-850| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0811-02-04T.gif
2858|-811|7|31|2|49|22|-20|50|P|0.9818|-34761|35|22022|-t|0.4717|2.0031|5.533|3.3||Jul 31, 812 BC|-0899|-0800|-850|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0811-07-31P.gif
2859|-810|1|25|10|29|45|21|-62|T|1.1525|-34755|40|22014|p-|0.3728|2.1957|5.717|3.483|0.983|Jan 25, 811 BC|-0899|-0800|-850| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0810-01-25T.gif
2860|-810|7|20|2|49|19|-23|-131|T|1.3366|-34749|45|22006|p-|-0.2931|2.3032|5.333|3.433|1.317|Jul 20, 811 BC|-0899|-0800|-850| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0810-07-20T.gif
2861|-809|1|14|1|44|7|24|-111|N|-0.2282|-34743|50|21998|t-|1.1118|0.8646|4.45|||Jan 14, 810 BC|-0899|-0800|-850| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0809-01-14N.gif
2862|-809|6|11|12|30|48|-21|82|Ne|-0.8503|-34738|17|21991|-a|1.4905|0.0959|1.367|||Jun 11, 810 BC|-0899|-0800|-850| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0809-06-11N.gif
2863|-809|7|10|7|20|32|-25|-19|P|0.0391|-34737|55|21990|a-|-1.0064|0.9828|4|0.7||Jul 10, 810 BC|-0899|-0800|-850|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0809-07-10P.gif
2864|-809|12|4|6|49|35|20|168|N|-0.4343|-34732|22|21983|-t|-1.2274|0.6464|3.85|||Dec 4, 810 BC|-0899|-0800|-850| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0809-12-04N.gif
2865|-808|5|30|3|21|54|-20|-141|P|0.404|-34726|27|21975|-a|0.796|1.3905|4.817|2.283||May 30, 809 BC|-0899|-0800|-850|0.4999 to 0.2500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0808-05-30P.gif
2866|-808|11|23|1|16|3|19|70|P|0.9512|-34720|32|21967|-p|-0.4877|1.9751|5.4|3.2||Nov 23, 809 BC|-0899|-0800|-850|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0808-11-23P.gif
2867|-807|5|19|11|50|5|-18|92|T+|1.7787|-34714|37|21959|pp|0.0322|2.8193|6.017|3.833|1.75|May 19, 808 BC|-0899|-0800|-850| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0807-05-19T.gif
2868|-807|11|12|2|17|34|16|-126|T+|1.4905|-34708|42|21950|p-|0.206|2.4694|5.317|3.45|1.467|Nov 12, 808 BC|-0899|-0800|-850| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0807-11-12T.gif
2869|-806|5|9|1|46|42|-15|63|P|0.4518|-34702|47|21942|t-|-0.7477|1.5209|5.483|2.583||May 9, 807 BC|-0899|-0800|-850|0.4999 to 0.2500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0806-05-09P.gif
2870|-806|11|2|5|57|38|13|-1|P|0.2799|-34696|52|21934|a-|0.8667|1.2551|4.433|1.85||Nov 2, 807 BC|-0899|-0800|-850|0.4999 to 0.2500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0806-11-02P.gif
2871|-805|3|29|2|13|2|1|-119|N|-0.5216|-34691|19|21927|-t|1.2887|0.5086|3.35|||Mar 29, 806 BC|-0899|-0800|-850| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0805-03-29N.gif
2872|-805|4|28|3|5|52|-12|43|N|-0.8793|-34690|57|21926|t-|-1.4784|0.1702|2.05|||Apr 28, 806 BC|-0899|-0800|-850| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0805-04-28N.gif
2873|-805|9|23|6|14|50|-4|-3|N|-0.3711|-34685|24|21919|-a|-1.2045|0.6669|3.733|||Sep 23, 806 BC|-0899|-0800|-850| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0805-09-23N.gif
2874|-804|3|18|12|48|5|5|82|P|0.9725|-34679|29|21911|-a|0.4884|1.951|5.217|3.167||Mar 18, 805 BC|-0899|-0800|-850|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0804-03-18P.gif
2875|-804|9|11|10|13|52|-8|-62|P|0.8511|-34673|34|21903|-t|-0.5262|1.9344|5.85|3.3||Sep 11, 805 BC|-0899|-0800|-850|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0804-09-11P.gif
2876|-803|3|7|4|28|57|8|-152|T-|1.4372|-34667|39|21895|p-|-0.2422|2.3895|5.233|3.417|1.417|Mar 7, 804 BC|-0899|-0800|-850| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0803-03-07T.gif
2877|-803|8|31|9|56|42|-12|-58|T+|1.4715|-34661|44|21887|pp|0.1876|2.5567|6.2|3.833|1.583|Aug 31, 804 BC|-0899|-0800|-850| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0803-08-31T.gif
2878|-802|2|25|8|49|33|11|-37|P|0.114|-34655|49|21879|a-|-0.9585|1.0842|4.25|1.217||Feb 25, 803 BC|-0899|-0800|-850|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0802-02-25P.gif
2879|-802|8|20|12|50|51|-15|-101|P|0.1836|-34649|54|21871|h-|0.9017|1.2236|4.85|1.633||Aug 20, 803 BC|-0899|-0800|-850|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0802-08-20P.gif
2880|-801|1|16|7|0|7|23|-10|N|-0.1599|-34644|21|21864|-h|1.0829|0.9022|4.367|||Jan 16, 802 BC|-0899|-0800|-850| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0801-01-16N.gif
2881|-801|7|11|2|37|59|-24|-129|P|0.0244|-34638|26|21856|-a|-1.0115|0.9789|4.05|0.567||Jul 11, 802 BC|-0899|-0800|-850|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0801-07-11P.gif
2882|-800|1|5|8|21|54|24|-32|T|1.0536|-34632|31|21848|-t|0.4111|2.1546|6.083|3.55|0.617|Jan 5, 801 BC|-0899|-0800|-850| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0800-01-05T.gif
2883|-800|6|30|7|40|2|-24|-25|T|1.3747|-34626|36|21840|-p|-0.2784|2.319|5.2|3.4|1.35|Jun 30, 801 BC|-0899|-0800|-850| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0800-06-30T.gif
2884|-800|12|24|7|47|1|23|-25|T|1.3078|-34620|41|21832|p-|-0.2758|2.3966|6.1|3.717|1.35|Dec 24, 801 BC|-0899|-0800|-850| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0899--0800.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0899--0800/LE-0800-12-24T.gif
2885|-799|6|19|11|19|23|-23|99|P|0.9943|-34614|46|21823|a-|0.477|1.9708|5.267|3.2||Jun 19, 800 BC|-0799|-0700|-800|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0799--0700.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0799--0700/LE-0799-06-19P.gif
2886|-799|12|13|12|31|58|22|-98|P|0.1036|-34608|51|21815|a-|-0.9461|1.1405|4.617|1.217||Dec 13, 800 BC|-0799|-0700|-800|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0799--0700.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0799--0700/LE-0799-12-13P.gif
2887|-798|5|10|8|30|55|-16|141|N|-0.8564|-34603|18|21809|-t|-1.4648|0.1969|2.217|||May 10, 799 BC|-0799|-0700|-800| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-0799--0700.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0799--0700/LE-0798-05-10N.gif
2888|-798|6|9|9|19|29|-21|-51|N|-0.5369|-34602|56|21807|t-|1.297|0.4931|3.317|||Jun 9, 799 BC|-0799|-0700|-800| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-0799--0700.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0799--0700/LE-0798-06-09N.gif
2889|-798|11|3|1|18|53|14|-112|N|-0.2113|-34597|23|21801|-a|1.1352|0.761|3.633|||Nov 3, 799 BC|-0799|-0700|-800| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-0799--0700.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0799--0700/LE-0798-11-03N.gif
2890|-797|4|29|9|27|38|-12|128|P|0.4847|-34591|28|21792|-t|-0.7297|1.5539|5.517|2.667||Apr 29, 798 BC|-0799|-0700|-800|0.4999 to 0.2500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0799--0700.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0799--0700/LE-0797-04-29P.gif
2891|-797|10|24|4|55|31|9|14|P|0.9782|-34585|33|21784|-a|0.4843|1.9601|5.133|3.117||Oct 24, 798 BC|-0799|-0700|-800|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0799--0700.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0799--0700/LE-0797-10-24P.gif
2892|-796|4|17|11|54|11|-8|92|T+|1.7528|-34579|38|21776|pp|0.0472|2.7904|5.967|3.817|1.733|Apr 17, 797 BC|-0799|-0700|-800| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0799--0700.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0799--0700/LE-0796-04-17T.gif
2893|-796|10|12|5|11|53|5|-169|T-|1.4595|-34573|43|21768|p-|-0.2092|2.4888|5.7|3.6|1.5|Oct 12, 797 BC|-0799|-0700|-800| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0799--0700.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0799--0700/LE-0796-10-12T.gif
2894|-795|4|7|9|8|25|-3|-45|P|0.401|-34567|48|21760|a-|0.7981|1.3858|4.783|2.25||Apr 7, 796 BC|-0799|-0700|-800|0.4999 to 0.2500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0799--0700.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0799--0700/LE-0795-04-07P.gif
2895|-795|10|1|10|36|8|-1|110|P|0.0757|-34561|53|21752|t-|-0.9495|1.1564|4.917|1.1||Oct 1, 796 BC|-0799|-0700|-800|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0799--0700.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0799--0700/LE-0795-10-01P.gif
2896|-794|2|26|4|22|40|11|-151|N|-0.0806|-34556|20|21745|-a|-1.0687|0.874|3.817|||Feb 26, 795 BC|-0799|-0700|-800| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-0799--0700.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0799--0700/LE-0794-02-26N.gif
2897|-794|3|28|12|16|46|2|89|N|-0.8301|-34555|58|21744|a-|1.4784|0.1201|1.517|||Mar 28, 795 BC|-0799|-0700|-800| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-0799--0700.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0799--0700/LE-0794-03-28N.gif
2898|-794|8|22|5|16|3|-14|12|N|-0.574|-34550|25|21737|-t|1.3054|0.5|3.467|||Aug 22, 795 BC|-0799|-0700|-800| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-0799--0700.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0799--0700/LE-0794-08-22N.gif
2899|-793|2|16|7|59|33|15|-25|T|1.1591|-34544|30|21729|-a|-0.3849|2.144|5.317|3.317|0.95|Feb 16, 794 BC|-0799|-0700|-800| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0799--0700.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0799--0700/LE-0793-02-16T.gif
2900|-793|8|11|10|11|32|-18|-62|P|0.8829|-34538|35|21721|-t|0.5257|1.9037|5.45|3.183||Aug 11, 794 BC|-0799|-0700|-800|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0799--0700.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0799--0700/LE-0793-08-11P.gif
2901|-792|2|5|6|25|25|19|179|T|1.197|-34532|40|21713|p-|0.3485|2.2403|5.75|3.533|1.1|Feb 5, 793 BC|-0799|-0700|-800| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0799--0700.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0799--0700/LE-0792-02-05T.gif
2902|-792|7|30|10|26|57|-21|114|T-|1.4452|-34526|45|21705|p-|-0.2339|2.4119|5.35|3.483|1.45|Jul 30, 793 BC|-0799|-0700|-800| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-0799--0700.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0799--0700/LE-0792-07-30T.gif
2903|-791|1|24|9|25|18|22|133|N|-0.189|-34520|50|21697|t-|1.0909|0.9022|4.533|||Jan 24, 792 BC|-0799|-0700|-800| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-0799--0700.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-0799--0700/LE-0791-01-24N.gif
